company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
9d1a2c39a9890b33c8e68beb11ffcde5f8d1f9530a73283719a182a0,9d1a2c39a9890b33c8e68beb11ffcde5f8d1f9530a73283719a182a0,864,24,E,城区,966304,344290,3562,1
8d021c01fbcecf3ba940937d4cb5e35918ba7c0b671e0be2ad01d8b5,8d021c01fbcecf3ba940937d4cb5e35918ba7c0b671e0be2ad01d8b5,865,23,E,佛堂,172382,45347,2630,3
9b1541d135716e8d287fefe98c88ce4b1696ddb8015c12580b6d6a0e,9b1541d135716e8d287fefe98c88ce4b1696ddb8015c12580b6d6a0e,866,51,E,佛堂,172382,45347,2630,3
93c1b539984de54d20a08f7d43ed51e339563bbfea0c5e0477856044,93c1b539984de54d20a08f7d43ed51e339563bbfea0c5e0477856044,867,74,E,城区,966304,344290,3562,1
d4bb2b6481f87608ec26e343278bbb22af5940ef3a7285ea866f5a82,d4bb2b6481f87608ec26e343278bbb22af5940ef3a7285ea866f5a82,868,70,E,城区,966304,344290,3562,1
5b7900dd20a5db55af02a2dc4ae3dd606f3a15bf70637ee6001675b3,5b7900dd20a5db55af02a2dc4ae3dd606f3a15bf70637ee6001675b3,869,23,E,苏溪,74950,16888,2253,8
31fada7e1aa350eee9441d44cc1fa5d7e0cfedaa18b4267a6476ba8c,31fada7e1aa350eee9441d44cc1fa5d7e0cfedaa18b4267a6476ba8c,870,24,E,苏溪,74950,16888,2253,8
b1782e2c754a1001d756569fd1535725943edc3a7728c4c0a83f9beb,b1782e2c754a1001d756569fd1535725943edc3a7728c4c0a83f9beb,871,72,P,城区,966304,344290,3562,1
7706230bfa6da3e6d70f9cbd33cf8e17d8686d27b99b296d2d10f4b0,7706230bfa6da3e6d70f9cbd33cf8e17d8686d27b99b296d2d10f4b0,872,96,P,上溪,83558,17358,2077,7
163c06a26bb3f3f79ca71e0e9c480ef3a5c3623a38d8cc3d51705c77,163c06a26bb3f3f79ca71e0e9c480ef3a5c3623a38d8cc3d51705c77,873,80,E,城区,966304,344290,3562,1
4623fc7371991cf5f200cbd044a2acb4e96bfb15ec0daa6583608cf7,4623fc7371991cf5f200cbd044a2acb4e96bfb15ec0daa6583608cf7,874,52,E,城区,966304,344290,3562,1
de2fee6e414858c43c9c96977c9c5b76c6c7adbfe766ba7ae5ac7f98,de2fee6e414858c43c9c96977c9c5b76c6c7adbfe766ba7ae5ac7f98,875,72,E,佛堂,172382,45347,2630,3
88e34b6198b3b7cb2559768ef51dabec9617693b3b1c6c98abcab06e,88e34b6198b3b7cb2559768ef51dabec9617693b3b1c6c98abcab06e,876,23,E,城区,966304,344290,3562,1
cee5014131699c2b986eb4a72176d048b24ae82962c126e14887781c,cee5014131699c2b986eb4a72176d048b24ae82962c126e14887781c,877,14,E,城区,966304,344290,3562,1
de05447fc94458dbf873e1423874189f2ea07deec83137fbd57e4061,de05447fc94458dbf873e1423874189f2ea07deec83137fbd57e4061,878,29,E,佛堂,172382,45347,2630,3
105d237beb17557230bc16a8e6ae0e2a1f1fda0478becdc98cbc87b3,105d237beb17557230bc16a8e6ae0e2a1f1fda0478becdc98cbc87b3,879,26,E,城区,966304,344290,3562,1
e6f62a97f6d6203b7710b9df6363762ec141ad492828b7da9b5e1dd6,e6f62a97f6d6203b7710b9df6363762ec141ad492828b7da9b5e1dd6,880,33,E,廿三里,99084,23020,2323,10
79b6abc0a9488c943f88ec6de2b396e9cde70215b1c8eb8d15eda83d,79b6abc0a9488c943f88ec6de2b396e9cde70215b1c8eb8d15eda83d,881,18,E,大陈,71817,16992,2366,9
aa36540acc7e64e56ee3877f898d34cabd7d8e8e13be5032b99f480d,aa36540acc7e64e56ee3877f898d34cabd7d8e8e13be5032b99f480d,882,18,E,大陈,71817,16992,2366,9
bd7396aaf697d6c6dfa9e9439f7740eea2463b85ed67959e077f5b76,bd7396aaf697d6c6dfa9e9439f7740eea2463b85ed67959e077f5b76,883,23,E,廿三里,99084,23020,2323,10
ae7341a25d19c25dab0168883284e14b7c55c1a3c4e10f6e1e762569,ae7341a25d19c25dab0168883284e14b7c55c1a3c4e10f6e1e762569,884,18,E,城区,966304,344290,3562,1
c4cbf256b024f765218031436dc2176b4311207dc14eeb1d0bc9a116,c4cbf256b024f765218031436dc2176b4311207dc14eeb1d0bc9a116,885,51,E,苏溪,74950,16888,2253,8
b3f1e05e15787c30426009696a25c4cde499ed1c790aca38724a6cc3,b3f1e05e15787c30426009696a25c4cde499ed1c790aca38724a6cc3,886,41,E,义亭,84203,18908,2245,5
65137d8e57823ed31765cede728985c8aa2b9d16b1cdb945a4c8c8ad,65137d8e57823ed31765cede728985c8aa2b9d16b1cdb945a4c8c8ad,887,17,E,城区,966304,344290,3562,1
4a85bb75c4597f3f523392c99f341570c962c31bfc45f73ebaa179cb,4a85bb75c4597f3f523392c99f341570c962c31bfc45f73ebaa179cb,888,51,E,城区,966304,344290,3562,1
