company,adjusted,code,industry,type,area,总人口,财政总收入,人均财政收入,地区编号
0ed0dfae966bc163eb40892ecaa936c1cfea654fdbf4bd74494cd3dd,0ed0dfae966bc163eb40892ecaa936c1cfea654fdbf4bd74494cd3dd,1,22,E,义亭,88854,20426,2298,5
665755815f70891bef2cd3c7ee47b0728813db4393d046a7614283a5,665755815f70891bef2cd3c7ee47b0728813db4393d046a7614283a5,2,41,E,义亭,88854,20426,2298,5
4169d032e06c53cb5c31fe8e75262f35ba8f0f2b7778b056b106a4d7,4169d032e06c53cb5c31fe8e75262f35ba8f0f2b7778b056b106a4d7,3,96,P,上溪,85759,12835,1496,7
15829cc242b7c92b4c50dc85a0c5ca1e0d97dc2f66a76ad453ea70c4,15829cc242b7c92b4c50dc85a0c5ca1e0d97dc2f66a76ad453ea70c4,4,48,E,城区,963993,407261,4224,1
40a0affda82cbab1a58bb8780982b86c86b793709fba81e700984672,40a0affda82cbab1a58bb8780982b86c86b793709fba81e700984672,5,24,E,城西,77863,15500,1990,6
7d4b5a8885419ca84a1eb0b71e1f1b8353d73ff835757aa37489e31e,7d4b5a8885419ca84a1eb0b71e1f1b8353d73ff835757aa37489e31e,6,22,E,上溪,85759,12835,1496,7
308beb1c3cf3067820b27cdfb502bf2eca99b6ceeafe52ae0f209617,308beb1c3cf3067820b27cdfb502bf2eca99b6ceeafe52ae0f209617,7,92,P,城区,963993,407261,4224,1
50030b215c04f5b884e11a82a915a7a0f58658ccab2069b450d732c7,50030b215c04f5b884e11a82a915a7a0f58658ccab2069b450d732c7,8,96,P,城区,963993,407261,4224,1
1e50817e345957db2a0a21bbd45ca7a3f49f050149f9da1451070ab4,1e50817e345957db2a0a21bbd45ca7a3f49f050149f9da1451070ab4,9,24,E,大陈,74382,19294,2593,9
5b3a37aa5ce55f655ea42bed9d1b9c757bb167719f04f571c1137808,5b3a37aa5ce55f655ea42bed9d1b9c757bb167719f04f571c1137808,10,18,E,大陈,74382,19294,2593,9
8c25550bbcaea887f5f61c2455571f98e155697c19012bc2ada2df9c,ede30febaa97210711157ca2ab3d0e11c3484495a7d2026dff1562b6,11,92,P,廿三里,107054,20514,1916,10
2b0c1a1658d381a98e376e84ceab3a3fd0058c82f49e180e2d7d402a,2b0c1a1658d381a98e376e84ceab3a3fd0058c82f49e180e2d7d402a,12,72,P,大陈,74382,19294,2593,9
5eed51d5fe712b9490cfd51e684dc25d39fbfe3c6d81ab79e427b7c8,5eed51d5fe712b9490cfd51e684dc25d39fbfe3c6d81ab79e427b7c8,13,96,P,大陈,74382,19294,2593,9
e72353b7046eacc5c29ec2f1fe13235ed8633e4bee6e188016ba6611,e72353b7046eacc5c29ec2f1fe13235ed8633e4bee6e188016ba6611,14,96,P,城区,963993,407261,4224,1
7a6b7fcf9c24090b327d9c71bade1403d7884f9ea4a670a46ff298e4,7a6b7fcf9c24090b327d9c71bade1403d7884f9ea4a670a46ff298e4,15,72,E,城区,963993,407261,4224,1
50c886ed80478e15e0d7829376a5b565000775428d291080df04e260,50c886ed80478e15e0d7829376a5b565000775428d291080df04e260,16,96,P,大陈,74382,19294,2593,9
4ae6a15febfa78ce94addc1a7e2146e1d18dfadcea1a41c6ff0e440f,b0d3cff8e1b96aab3e67ca538f38d9d40618f6cfc05582d9ef748ec9,17,92,P,赤岸,37099,10261,2765,4
45bf7211fb862a5bef6a4db86879f4f5191109e9a09734d3f7fc6432,45bf7211fb862a5bef6a4db86879f4f5191109e9a09734d3f7fc6432,18,96,P,赤岸,37099,10261,2765,4
884a9225be3571ff1b3192761e519ff3587fe38b679a3d75d218e5c2,884a9225be3571ff1b3192761e519ff3587fe38b679a3d75d218e5c2,19,95,P,城区,963993,407261,4224,1
ba5d3709bf9a79ed1aa8ea6bf77cdc37e2be7d19f32ee8aeb614fe84,ba5d3709bf9a79ed1aa8ea6bf77cdc37e2be7d19f32ee8aeb614fe84,20,72,E,城区,963993,407261,4224,1
0d303cc0e0469ebee6765b5b9525fac5367c0d8906a0edfb4302fc31,0d303cc0e0469ebee6765b5b9525fac5367c0d8906a0edfb4302fc31,21,80,E,苏溪,75395,16588,2200,8
d562ebf0d616b8c970aac68e1517384ac501a0551e1785be20e74252,d562ebf0d616b8c970aac68e1517384ac501a0551e1785be20e74252,22,72,P,城区,963993,407261,4224,1
904c24af09ee5837adff1642963128feb46cbe917417eee77f3fc90a,904c24af09ee5837adff1642963128feb46cbe917417eee77f3fc90a,23,92,P,城区,963993,407261,4224,1
